id,lon,lat,Panorama_ID,route_1,route_1_seq,route_2,route_2_seq,route_3,route_3_seq,INDEX_THERMAL,INDEX_BUILT ENVIRONMENT,INDEX_FAMILIARITY,INDEX_PROXIMITY,thermal_comfort,greenery_rate,seg_sky,shading_area,human_scale,Street furniture,seg_sidewalk,CCTV coverage,Lighting,Maintenance & cleanliness,Presence of other people,Street vendors seating,Shops,Street vendors,dist_to_city_hall,dist_to_bank,dist_to_healthcare,dist_to_education,dist_to_police,dist_to_hospital,Traffic_low_evening,Traffic_high_evening,Traffic_low_morning,Traffic_high_morning,DIST_EMERGENCY,DIST_CAREGIVING,DIST_BUREAROCRATIC
671,106.7527537,-6.1870098,street_view_collage_671,,,,,,,0.44,0.34,0.29,0.71,0.44,0.61,0.43,0.52,0.6,0.0,0.22,0.0,0.14,0.5,0.0,0.0,0.0,0.0,0.56,0.87,0.76,0.66,0.61,0.8,1.0,0.0,1.0,0.0,0.7,0.71,0.72
672,106.7367466,-6.1690257,street_view_collage_672,,,,,,,0.49,0.19,0.26,0.55,0.49,0.26,0.51,0.52,0.31,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.16,0.44,0.89,0.44,0.51,1.0,0.0,1.0,0.0,0.48,0.66,0.5
673,106.7474619,-6.158412,street_view_collage_673,,,,,,,0.27,0.47,0.29,0.55,0.27,0.26,0.6,0.6,0.29,0.67,0.04,1.0,0.29,0.5,0.3,0.0,0.0,0.0,0.51,0.32,0.86,0.85,0.63,0.08,1.0,0.0,1.0,0.0,0.36,0.86,0.42
674,106.7435874,-6.1826778,street_view_collage_674,,,,,,,0.43,0.3,0.28,0.5,0.43,0.47,0.36,0.58,0.5,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.51,0.23,0.18,0.55,0.75,0.78,1.0,0.0,1.0,0.0,0.76,0.36,0.37
675,106.7518007,-6.161666,street_view_collage_675,,,,,,,0.14,0.24,0.35,0.58,0.14,0.04,0.67,0.5,0.06,0.0,0.16,0.0,0.71,0.0,0.35,0.0,0.4,0.33,0.7,0.64,0.55,0.72,0.72,0.17,1.0,0.0,1.0,0.0,0.44,0.64,0.67
676,106.7497454,-6.1755657,street_view_collage_676,,,,,,,0.5,0.38,0.32,0.75,0.5,0.76,0.42,0.77,0.91,0.0,0.05,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.56,0.83,0.68,0.93,1.0,0.53,1.0,0.0,1.0,0.0,0.76,0.8,0.7
677,106.7526049,-6.1866043,street_view_collage_677,,,,,,,0.64,0.42,0.29,0.73,0.64,0.55,0.69,0.5,0.58,0.0,0.04,0.0,0.43,1.0,0.0,0.0,0.0,0.0,0.58,0.91,0.81,0.66,0.61,0.79,1.0,0.0,1.0,0.0,0.7,0.74,0.74
678,106.7444746,-6.1637972,street_view_collage_678,,,,,,,0.11,0.21,0.24,0.65,0.11,0.09,0.35,0.39,0.08,0.0,0.31,0.0,0.14,0.5,0.05,0.0,0.0,0.0,0.8,0.64,0.85,0.84,0.5,0.28,1.0,0.0,1.0,0.0,0.39,0.84,0.72
679,106.7440482,-6.1779467,street_view_collage_679,,,,,,,0.52,0.29,0.39,0.63,0.52,0.31,0.36,0.78,0.33,0.0,0.57,0.0,0.29,0.0,0.25,0.4,0.2,0.33,0.8,0.57,0.29,0.65,0.77,0.68,1.0,0.0,1.0,0.0,0.73,0.47,0.68
68,106.7404654,-6.1639409,street_view_collage_68,,,,,,,0.53,0.27,0.27,0.63,0.53,0.46,0.31,0.69,0.45,0.0,0.04,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.92,0.81,0.57,0.7,0.43,0.32,1.0,0.0,1.0,0.0,0.38,0.64,0.86
680,106.749974,-6.1756987,street_view_collage_680,,,,,,,0.47,0.47,0.31,0.74,0.47,0.64,0.44,0.65,0.79,0.0,0.45,0.0,0.29,1.0,0.0,0.0,0.0,0.0,0.53,0.82,0.66,0.89,1.0,0.54,1.0,0.0,1.0,0.0,0.77,0.78,0.68
681,106.7375659,-6.1815541,street_view_collage_681,,,,,,,0.46,0.3,0.28,0.53,0.46,0.56,0.63,0.36,0.52,0.0,0.01,0.0,0.14,0.5,0.0,0.0,0.0,0.0,0.63,0.42,0.2,0.4,0.65,0.91,1.0,0.0,1.0,0.0,0.78,0.3,0.52
682,106.7437457,-6.188195,street_view_collage_682,,,,,,,0.4,0.39,0.3,0.64,0.4,0.43,0.45,0.62,0.45,0.17,0.12,0.0,0.29,1.0,0.05,0.2,0.0,0.0,0.11,0.73,0.5,0.8,0.94,0.79,1.0,0.0,1.0,0.0,0.86,0.65,0.42
683,106.7382626,-6.1657086,street_view_collage_683,,,route_2,15.0,,,0.41,0.32,0.27,0.58,0.41,0.38,0.49,0.7,0.47,0.0,0.38,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.85,0.53,0.49,0.84,0.42,0.39,1.0,0.0,1.0,0.0,0.4,0.66,0.69
684,106.7394133,-6.1665179,street_view_collage_684,,,,,,,0.2,0.32,0.3,0.53,0.2,0.29,0.55,0.55,0.36,0.17,0.14,0.0,0.29,0.5,0.1,0.0,0.2,0.0,0.73,0.52,0.35,0.74,0.47,0.41,1.0,0.0,1.0,0.0,0.44,0.54,0.62
685,106.7451913,-6.1773918,street_view_collage_685,,,,,,,0.26,0.25,0.26,0.69,0.26,0.32,0.4,0.45,0.35,0.0,0.22,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.74,0.7,0.41,0.81,0.81,0.64,1.0,0.0,1.0,0.0,0.73,0.61,0.72
686,106.7442851,-6.1657321,street_view_collage_686,,,,,,,0.33,0.31,0.38,0.65,0.33,0.18,0.47,0.58,0.21,0.67,0.24,0.0,0.43,0.0,0.25,0.4,0.2,0.33,0.71,0.53,0.83,0.91,0.57,0.34,1.0,0.0,1.0,0.0,0.45,0.87,0.62
687,106.7375235,-6.1780598,street_view_collage_687,,,,,,,0.43,0.33,0.3,0.56,0.43,0.62,0.46,0.49,0.67,0.0,0.06,0.0,0.14,0.5,0.0,0.0,0.0,0.0,0.71,0.12,0.46,0.74,0.53,0.8,1.0,0.0,1.0,0.0,0.66,0.6,0.42
688,106.7529656,-6.1889525,street_view_collage_688,,,,,,,0.61,0.34,0.28,0.64,0.61,0.48,0.49,0.71,0.56,0.0,0.01,0.0,0.29,0.5,0.0,0.0,0.0,0.0,0.38,0.87,0.56,0.66,0.61,0.8,1.0,0.0,1.0,0.0,0.7,0.61,0.62
689,106.738207,-6.1677879,street_view_collage_689,,,,,,,0.35,0.3,0.24,0.54,0.35,0.12,0.53,0.47,0.15,0.0,0.02,0.0,0.43,1.0,0.0,0.0,0.0,0.0,0.9,0.35,0.41,0.68,0.46,0.46,1.0,0.0,1.0,0.0,0.46,0.55,0.62
69,106.7337963,-6.1780331,street_view_collage_69,,,,,,,0.45,0.38,0.29,0.65,0.45,0.51,0.31,0.72,0.58,0.0,0.03,0.0,0.29,1.0,0.0,0.0,0.0,0.0,0.75,0.5,0.7,0.74,0.45,0.8,1.0,0.0,1.0,0.0,0.62,0.72,0.62
690,106.7371795,-6.1603059,street_view_collage_690,,,,,,,0.21,0.21,0.29,0.62,0.21,0.14,0.6,0.34,0.13,0.0,0.17,0.5,0.0,0.0,0.2,0.0,0.3,0.0,0.93,0.55,0.94,0.83,0.24,0.22,1.0,0.0,1.0,0.0,0.23,0.88,0.74
691,106.7392981,-6.1672543,street_view_collage_691,,,,,,,0.36,0.35,0.28,0.53,0.36,0.44,0.43,0.72,0.53,0.0,0.09,0.0,0.43,0.5,0.0,0.0,0.0,0.0,0.75,0.45,0.34,0.69,0.48,0.44,1.0,0.0,1.0,0.0,0.46,0.52,0.6
692,106.7472106,-6.1691777,street_view_collage_692,,,,,,,0.8,0.32,0.29,0.61,0.8,0.66,0.02,0.93,0.63,0.0,0.14,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.44,0.67,0.61,0.84,0.73,0.39,1.0,0.0,1.0,0.0,0.56,0.72,0.56
693,106.7532625,-6.1813517,street_view_collage_693,,,,,,,0.04,0.13,0.27,0.65,0.04,0.47,0.27,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.66,0.64,0.42,0.75,0.75,1.0,0.0,1.0,0.0,0.75,0.53,0.66
694,106.7341345,-6.1685798,street_view_collage_694,,,,,,,0.47,0.18,0.44,0.54,0.47,0.18,0.29,0.73,0.21,0.17,0.06,0.0,0.0,0.0,0.5,0.4,0.5,0.33,0.84,0.09,0.6,0.86,0.34,0.49,1.0,0.0,1.0,0.0,0.42,0.73,0.46
695,106.7363311,-6.1672832,street_view_collage_695,,,,,,,0.12,0.2,0.23,0.55,0.12,0.07,0.63,0.32,0.07,0.0,0.21,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.73,0.28,0.6,0.86,0.39,0.45,1.0,0.0,1.0,0.0,0.42,0.73,0.5
696,106.7388515,-6.167364,street_view_collage_696,,,,,,,0.45,0.45,0.29,0.52,0.45,0.48,0.55,0.73,0.57,0.0,0.02,0.0,0.71,1.0,0.0,0.0,0.0,0.0,0.8,0.42,0.38,0.63,0.47,0.44,1.0,0.0,1.0,0.0,0.45,0.5,0.61
697,106.7316898,-6.1646847,street_view_collage_697,route_1,2.0,route_2,2.0,route_3,2.0,0.12,0.15,0.31,0.58,0.12,0.02,0.93,0.33,0.0,0.0,0.06,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.8,0.45,0.82,0.84,0.19,0.36,1.0,0.0,1.0,0.0,0.28,0.83,0.62
698,106.7437122,-6.1737814,street_view_collage_698,,,,,,,0.2,0.26,0.43,0.64,0.2,0.38,0.52,0.35,0.32,0.0,0.01,0.0,0.29,0.5,0.2,1.0,0.0,0.33,0.51,0.57,0.5,0.9,0.76,0.58,1.0,0.0,1.0,0.0,0.67,0.7,0.54
699,106.738894,-6.1630887,street_view_collage_699,,,,,,,0.05,0.27,0.37,0.62,0.05,0.05,0.8,0.28,0.01,0.17,0.36,0.0,0.29,0.5,0.3,0.0,0.7,0.33,0.82,0.75,0.66,0.82,0.36,0.31,1.0,0.0,1.0,0.0,0.34,0.74,0.78
7,106.7436733,-6.1856005,street_view_collage_7,,,,,,,0.65,0.5,0.31,0.58,0.65,0.73,0.13,0.87,0.81,0.0,0.59,0.0,0.86,0.5,0.0,0.0,0.0,0.0,0.23,0.47,0.4,0.73,0.86,0.8,1.0,0.0,1.0,0.0,0.83,0.56,0.35
70,106.7445316,-6.1792611,street_view_collage_70,,,,,,,0.62,0.33,0.3,0.61,0.62,0.67,0.27,0.75,0.73,0.0,0.03,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.81,0.55,0.21,0.64,0.76,0.7,1.0,0.0,1.0,0.0,0.73,0.42,0.68
700,106.7300739,-6.1637462,street_view_collage_700,,,,,,,0.28,0.19,0.32,0.56,0.28,0.07,0.47,0.58,0.12,0.0,0.01,0.0,0.0,0.5,0.15,0.2,0.2,0.17,0.84,0.62,0.63,0.86,0.11,0.32,1.0,0.0,1.0,0.0,0.22,0.74,0.73
701,106.7418481,-6.1656541,street_view_collage_701,,,,,,,0.25,0.26,0.31,0.63,0.25,0.4,0.34,0.53,0.38,0.0,0.68,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.77,0.65,0.58,0.89,0.51,0.37,1.0,0.0,1.0,0.0,0.44,0.74,0.71
702,106.7416144,-6.1615996,street_view_collage_702,,,,,,,0.66,0.29,0.33,0.62,0.66,0.35,0.44,0.65,0.32,0.17,0.07,0.0,0.57,0.0,0.05,0.0,0.3,0.33,0.73,0.95,0.71,0.74,0.38,0.24,1.0,0.0,1.0,0.0,0.31,0.72,0.84
703,106.7419904,-6.1622243,street_view_collage_703,,,,,,,0.76,0.33,0.28,0.64,0.76,0.47,0.76,0.51,0.56,0.0,0.0,0.0,0.14,0.5,0.0,0.0,0.0,0.0,0.71,0.94,0.76,0.8,0.4,0.26,1.0,0.0,1.0,0.0,0.33,0.78,0.82
704,106.7431084,-6.175615,street_view_collage_704,,,,,,,0.35,0.27,0.26,0.6,0.35,0.34,0.67,0.3,0.34,0.0,0.03,0.0,0.29,0.5,0.0,0.0,0.0,0.0,0.53,0.49,0.37,0.8,0.75,0.64,1.0,0.0,1.0,0.0,0.7,0.58,0.51
705,106.7442214,-6.1628441,street_view_collage_705,,,route_2,33.0,,,0.27,0.25,0.27,0.7,0.27,0.17,0.69,0.59,0.25,0.0,0.06,0.0,0.0,0.5,0.15,0.0,0.0,0.0,0.93,0.7,0.95,0.87,0.46,0.25,1.0,0.0,1.0,0.0,0.36,0.91,0.82
706,106.7477218,-6.177519,street_view_collage_706,,,route_2,43.0,route_3,30.0,0.01,0.37,0.36,0.76,0.01,0.15,0.85,0.41,0.18,0.0,0.36,0.0,0.86,0.5,0.3,0.0,0.6,0.17,0.74,0.91,0.5,0.94,0.9,0.58,0.5,0.5,1.0,0.0,0.74,0.72,0.82
707,106.7459056,-6.1639905,street_view_collage_707,,,,,,,0.29,0.33,0.27,0.66,0.29,0.34,0.69,0.48,0.4,0.0,0.4,0.0,0.14,0.5,0.0,0.0,0.0,0.0,0.84,0.49,0.89,0.95,0.53,0.27,1.0,0.0,1.0,0.0,0.4,0.92,0.66
708,106.7312349,-6.1633729,street_view_collage_708,,,,,,,0.65,0.27,0.28,0.59,0.65,0.17,0.0,0.84,0.28,0.17,0.16,0.0,0.29,0.5,0.1,0.0,0.1,0.0,0.99,0.49,0.73,0.89,0.14,0.31,1.0,0.0,1.0,0.0,0.22,0.81,0.74
709,106.7468419,-6.176298,street_view_collage_709,,,,,,,0.47,0.4,0.41,0.81,0.47,0.36,0.45,0.68,0.33,0.0,0.38,0.5,0.43,0.5,0.3,0.4,0.3,0.33,0.95,0.88,0.6,0.94,0.89,0.58,1.0,0.0,1.0,0.0,0.74,0.77,0.92
71,106.7391847,-6.182464,street_view_collage_71,,,,,,,0.04,0.13,0.27,0.59,0.04,0.47,0.27,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.44,0.31,0.55,0.71,0.9,1.0,0.0,1.0,0.0,0.8,0.43,0.55
710,106.7429517,-6.172946,street_view_collage_710,,,,,,,0.49,0.27,0.26,0.55,0.49,0.31,0.53,0.56,0.36,0.0,0.04,0.0,0.14,0.5,0.0,0.0,0.0,0.0,0.36,0.51,0.43,0.73,0.72,0.57,1.0,0.0,1.0,0.0,0.64,0.58,0.44
711,106.7501538,-6.1901711,street_view_collage_711,,,,,,,0.44,0.4,0.37,0.55,0.44,0.52,0.49,0.53,0.49,0.33,0.17,0.0,0.57,0.5,0.15,0.0,0.4,0.33,0.03,0.98,0.39,0.47,0.71,0.71,1.0,0.0,1.0,0.0,0.71,0.43,0.5
712,106.7488775,-6.1608368,street_view_collage_712,,,,,,,0.41,0.18,0.27,0.54,0.41,0.12,0.26,0.67,0.19,0.0,0.05,0.0,0.29,0.0,0.0,0.0,0.1,0.17,0.41,0.35,0.72,0.99,0.65,0.13,1.0,0.0,1.0,0.0,0.39,0.86,0.38
713,106.7440818,-6.1674193,street_view_collage_713,,,,,,,0.8,0.38,0.31,0.56,0.8,0.85,0.33,0.68,0.8,0.0,0.11,0.0,0.14,0.5,0.0,0.0,0.0,0.0,0.57,0.39,0.7,0.69,0.62,0.39,1.0,0.0,1.0,0.0,0.5,0.7,0.48
714,106.7417828,-6.1825868,street_view_collage_714,,,,,,,0.35,0.31,0.3,0.55,0.35,0.66,0.21,0.71,0.69,0.0,0.06,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.49,0.27,0.27,0.68,0.74,0.83,1.0,0.0,1.0,0.0,0.78,0.48,0.38
